backbone,gate_type,rho,n,seed,activation,empirical_shift,bound_total,bound_bias,bound_sampling,sound,L_phi,max_MAD,max_IQR,delta_i,gate_dim,n_gates,extract_sec
mobilenet_v2,int_un,0.0,400,0,relu,0.0,0.0,0.0,0.0,True,1.0,0.0,0.0,0.0,3,3,7.1
mobilenet_v2,int_un,0.0,400,1,relu,0.0,0.0,0.0,0.0,True,1.0,0.0,0.0,0.0,3,3,7.1
mobilenet_v2,int_un,0.05,400,0,relu,0.0,0.0,0.0,0.0,True,1.0,0.0,0.0,0.0,3,3,7.1
mobilenet_v2,int_un,0.05,400,1,relu,0.0,0.0,0.0,0.0,True,1.0,0.0,0.0,0.0,3,3,7.1
mobilenet_v2,int_un,0.1,400,0,relu,0.0,0.0,0.0,0.0,True,1.0,0.0,0.0,0.0,3,3,7.1
mobilenet_v2,int_un,0.1,400,1,relu,0.0,0.0,0.0,0.0,True,1.0,0.0,0.0,0.0,3,3,7.1
mobilenet_v2,int_un,0.2,400,0,relu,0.0,0.0,0.0,0.0,True,1.0,0.0,0.0,0.0,3,3,7.1
mobilenet_v2,int_un,0.2,400,1,relu,0.0,0.0,0.0,0.0,True,1.0,0.0,0.0,0.0,3,3,7.1
efficientnet_b0,sep_tar,0.0,400,0,relu,0.0,0.0,0.0,0.0,True,1.0,0.0,0.0,0.0,1,1,7.36
efficientnet_b0,sep_tar,0.0,400,1,relu,0.0,0.0,0.0,0.0,True,1.0,0.0,0.0,0.0,1,1,7.36
efficientnet_b0,sep_tar,0.05,400,0,relu,0.0,0.0,0.0,0.0,True,1.0,0.0,0.0,0.0,1,1,7.36
efficientnet_b0,sep_tar,0.05,400,1,relu,0.0,0.0,0.0,0.0,True,1.0,0.0,0.0,0.0,1,1,7.36
efficientnet_b0,sep_tar,0.1,400,0,relu,0.0,0.0,0.0,0.0,True,1.0,0.0,0.0,0.0,1,1,7.36
efficientnet_b0,sep_tar,0.1,400,1,relu,0.0,0.0,0.0,0.0,True,1.0,0.0,0.0,0.0,1,1,7.36
efficientnet_b0,sep_tar,0.2,400,0,relu,0.0,0.0,0.0,0.0,True,1.0,0.0,0.0,0.0,1,1,7.36
efficientnet_b0,sep_tar,0.2,400,1,relu,0.0,0.0,0.0,0.0,True,1.0,0.0,0.0,0.0,1,1,7.36
efficientnet_b0,sha_un,0.0,400,0,relu,0.0,0.0,0.0,0.0,True,1.0,0.0,0.0,0.0,2,2,7.5
efficientnet_b0,sha_un,0.0,400,1,relu,0.0,0.0,0.0,0.0,True,1.0,0.0,0.0,0.0,2,2,7.5
efficientnet_b0,sha_un,0.05,400,0,relu,0.0,0.0,0.0,0.0,True,1.0,0.0,0.0,0.0,2,2,7.5
efficientnet_b0,sha_un,0.05,400,1,relu,0.0,0.0,0.0,0.0,True,1.0,0.0,0.0,0.0,2,2,7.5
efficientnet_b0,sha_un,0.1,400,0,relu,0.0,0.0,0.0,0.0,True,1.0,0.0,0.0,0.0,2,2,7.5
efficientnet_b0,sha_un,0.1,400,1,relu,0.0,0.0,0.0,0.0,True,1.0,0.0,0.0,0.0,2,2,7.5
efficientnet_b0,sha_un,0.2,400,0,relu,0.0,0.0,0.0,0.0,True,1.0,0.0,0.0,0.0,2,2,7.5
efficientnet_b0,sha_un,0.2,400,1,relu,0.0,0.0,0.0,0.0,True,1.0,0.0,0.0,0.0,2,2,7.5
efficientnet_b0,int_un,0.0,400,0,relu,0.0,0.0,0.0,0.0,True,1.0,0.0,0.0,0.0,3,3,7.15
efficientnet_b0,int_un,0.0,400,1,relu,0.0,0.0,0.0,0.0,True,1.0,0.0,0.0,0.0,3,3,7.15
efficientnet_b0,int_un,0.05,400,0,relu,0.0,0.0,0.0,0.0,True,1.0,0.0,0.0,0.0,3,3,7.15
efficientnet_b0,int_un,0.05,400,1,relu,0.0,0.0,0.0,0.0,True,1.0,0.0,0.0,0.0,3,3,7.15
efficientnet_b0,int_un,0.1,400,0,relu,0.0,0.0,0.0,0.0,True,1.0,0.0,0.0,0.0,3,3,7.15
efficientnet_b0,int_un,0.1,400,1,relu,0.0,0.0,0.0,0.0,True,1.0,0.0,0.0,0.0,3,3,7.15
efficientnet_b0,int_un,0.2,400,0,relu,0.0,0.0,0.0,0.0,True,1.0,0.0,0.0,0.0,3,3,7.15
efficientnet_b0,int_un,0.2,400,1,relu,0.0,0.0,0.0,0.0,True,1.0,0.0,0.0,0.0,3,3,7.15
