backbone,gate_type,weight_init,rho,n,seed,activation,empirical_shift,bound_total,bound_bias,bound_sampling,sound,L_phi,max_MAD,max_IQR,delta_i,gate_dim,n_gates,extract_sec
resnet50,sep_tar,pretrained,0.1,400,1,relu,0.0,0.0032573705539107323,0.0032573705539107323,0.0,True,1.0,0.0021817274391651154,0.004333013668656349,0.0008143426384776831,1,1,14.96
resnet50,sep_tar,pretrained,0.2,400,0,relu,0.0,0.008686321477095287,0.008686321477095287,0.0,True,1.0,0.0021817274391651154,0.004333013668656349,0.002171580369273822,1,1,14.96
resnet50,sep_tar,pretrained,0.2,400,1,relu,0.0,0.008686321477095287,0.008686321477095287,0.0,True,1.0,0.0021817274391651154,0.004333013668656349,0.002171580369273822,1,1,14.96
resnet50,sha_un,pretrained,0.0,400,0,relu,0.0,0.0,0.0,0.0,True,1.0,0.0004126355051994324,0.0008185505867004395,0.0,2,2,14.38
resnet50,sha_un,pretrained,0.0,400,1,relu,0.0,0.0,0.0,0.0,True,1.0,0.0004126355051994324,0.0008185505867004395,0.0,2,2,14.38
resnet50,sha_un,pretrained,0.05,400,0,relu,0.0,0.0002735969093110826,0.0002735969093110826,0.0,True,1.0,0.0004126355051994324,0.0008185505867004395,6.839922732777066e-05,2,2,14.38
resnet50,sha_un,pretrained,0.05,400,1,relu,0.0,0.0002735969093110826,0.0002735969093110826,0.0,True,1.0,0.0004126355051994324,0.0008185505867004395,6.839922732777066e-05,2,2,14.38
resnet50,sha_un,pretrained,0.1,400,0,relu,0.0,0.0006155930459499359,0.0006155930459499359,0.0,True,1.0,0.0004126355051994324,0.0008185505867004395,0.00015389826148748398,2,2,14.38
resnet50,sha_un,pretrained,0.1,400,1,relu,0.0,0.0006155930459499359,0.0006155930459499359,0.0,True,1.0,0.0004126355051994324,0.0008185505867004395,0.00015389826148748398,2,2,14.38
resnet50,sha_un,pretrained,0.2,400,0,relu,0.0,0.001641581455866496,0.001641581455866496,0.0,True,1.0,0.0004126355051994324,0.0008185505867004395,0.000410395363966624,2,2,14.38
resnet50,sha_un,pretrained,0.2,400,1,relu,0.0,0.001641581455866496,0.001641581455866496,0.0,True,1.0,0.0004126355051994324,0.0008185505867004395,0.000410395363966624,2,2,14.38
resnet50,int_un,pretrained,0.0,400,0,relu,0.0,0.0,0.0,0.0,True,1.0,0.0018955990672111511,0.0038161613047122955,0.0,3,3,15.57
resnet50,int_un,pretrained,0.0,400,1,relu,0.0,0.0,0.0,0.0,True,1.0,0.0018955990672111511,0.0038161613047122955,0.0,3,3,15.57
resnet50,int_un,pretrained,0.05,400,0,relu,0.0,0.001269280082649655,0.001269280082649655,0.0,True,1.0,0.0018955990672111511,0.0038161613047122955,0.00031732002066241373,3,3,15.57
resnet50,int_un,pretrained,0.05,400,1,relu,0.0,0.001269280082649655,0.001269280082649655,0.0,True,1.0,0.0018955990672111511,0.0038161613047122955,0.00031732002066241373,3,3,15.57
resnet50,int_un,pretrained,0.1,400,0,relu,0.0,0.0028558801859617233,0.0028558801859617233,0.0,True,1.0,0.0018955990672111511,0.0038161613047122955,0.0007139700464904308,3,3,15.57
resnet50,int_un,pretrained,0.1,400,1,relu,0.0,0.0028558801859617233,0.0028558801859617233,0.0,True,1.0,0.0018955990672111511,0.0038161613047122955,0.0007139700464904308,3,3,15.57
resnet50,int_un,pretrained,0.2,400,0,relu,0.0,0.00761568049589793,0.00761568049589793,0.0,True,1.0,0.0018955990672111511,0.0038161613047122955,0.0019039201239744825,3,3,15.57
resnet50,int_un,pretrained,0.2,400,1,relu,0.0,0.00761568049589793,0.00761568049589793,0.0,True,1.0,0.0018955990672111511,0.0038161613047122955,0.0019039201239744825,3,3,15.57
mobilenet_v2,sep_tar,pretrained,0.0,400,0,relu,0.0,0.0,0.0,0.0,True,1.0,0.00232049822807312,0.004623536020517349,0.0,1,1,6.04
mobilenet_v2,sep_tar,pretrained,0.0,400,1,relu,0.0,0.0,0.0,0.0,True,1.0,0.00232049822807312,0.004623536020517349,0.0,1,1,6.04
mobilenet_v2,sep_tar,pretrained,0.05,400,0,relu,0.0,0.0015431187219089933,0.0015431187219089933,0.0,True,1.0,0.00232049822807312,0.004623536020517349,0.00038577968047724833,1,1,6.04
