backbone,gate_type,pass_name,passes_applied,epsilon,verdict,n_syntactic,n_admitted,size_mb,verify_sec,status,error
resnet18,sep_tar,P0_baseline,,2.9501843542692657e+40,add-DGP-CERTIFIED-POSITIVE,1,1,46.5,9.02,ok,
resnet18,sep_tar,P1_eliminate_identity,eliminate_identity,2.9501843542692657e+40,add-DGP-CERTIFIED-POSITIVE,1,1,46.5,8.17,ok,
resnet18,sep_tar,P2_eliminate_deadend,eliminate_deadend,2.9501843542692657e+40,add-DGP-CERTIFIED-POSITIVE,1,1,46.5,7.29,ok,
resnet18,sep_tar,P3_eliminate_dup_init,eliminate_duplicate_initializer,2.9501843542692657e+40,add-DGP-CERTIFIED-POSITIVE,1,1,46.5,6.88,ok,
resnet18,sep_tar,P4_fuse_bn_into_conv,fuse_bn_into_conv,2.9501843542692657e+40,add-DGP-CERTIFIED-POSITIVE,1,1,46.5,9.87,ok,
resnet18,sep_tar,P5_fuse_add_bias_conv,fuse_add_bias_into_conv,2.9501843542692657e+40,add-DGP-CERTIFIED-POSITIVE,1,1,46.5,7.01,ok,
resnet18,sep_tar,P6_eliminate_nop_pad,eliminate_nop_pad,2.9501843542692657e+40,add-DGP-CERTIFIED-POSITIVE,1,1,46.5,7.26,ok,
resnet18,sep_tar,P7_eliminate_csex,eliminate_common_subexpression,2.9501843542692657e+40,add-DGP-CERTIFIED-POSITIVE,1,1,46.5,8.2,ok,
resnet18,sep_tar,P8_combo_aggressive,eliminate_identity;eliminate_deadend;eliminate_duplicate_initializer;fuse_bn_into_conv;fuse_add_bias_into_conv;eliminate_nop_pad;eliminate_common_subexpression,2.9501843542692657e+40,add-DGP-CERTIFIED-POSITIVE,1,1,46.5,7.5,ok,
mobilenet_v2,sep_tar,P0_baseline,,1611.3704350284247,add-DGP-CERTIFIED-POSITIVE,1,1,18.2,22.59,ok,
