backbone,gate_type,weight_init,rho,n,seed,activation,empirical_shift,bound_total,bound_bias,bound_sampling,sound,L_phi,max_MAD,max_IQR,delta_i,gate_dim,n_gates,extract_sec
efficientnet_b0,sep_tar,pretrained,0.0,400,0,relu,0.0,0.0,0.0,0.0,True,1.0,0.0006588585674762726,0.0014201793819665909,0.0,1,1,27.25
efficientnet_b0,sep_tar,pretrained,0.0,400,1,relu,0.0,0.0,0.0,0.0,True,1.0,0.0006588585674762726,0.0014201793819665909,0.0,1,1,27.25
efficientnet_b0,sep_tar,pretrained,0.05,400,0,relu,0.0,0.00046200843320952524,0.00046200843320952524,0.0,True,1.0,0.0006588585674762726,0.0014201793819665909,0.00011550210830238131,1,1,27.25
efficientnet_b0,sep_tar,pretrained,0.05,400,1,relu,0.0,0.00046200843320952524,0.00046200843320952524,0.0,True,1.0,0.0006588585674762726,0.0014201793819665909,0.00011550210830238131,1,1,27.25
efficientnet_b0,sep_tar,pretrained,0.1,400,0,relu,0.0,0.0010395189747214317,0.0010395189747214317,0.0,True,1.0,0.0006588585674762726,0.0014201793819665909,0.00025987974368035793,1,1,27.25
efficientnet_b0,sep_tar,pretrained,0.1,400,1,relu,0.0,0.0010395189747214317,0.0010395189747214317,0.0,True,1.0,0.0006588585674762726,0.0014201793819665909,0.00025987974368035793,1,1,27.25
efficientnet_b0,sep_tar,pretrained,0.2,400,0,relu,0.0,0.0027720505992571516,0.0027720505992571516,0.0,True,1.0,0.0006588585674762726,0.0014201793819665909,0.0006930126498142879,1,1,27.25
efficientnet_b0,sep_tar,pretrained,0.2,400,1,relu,0.0,0.0027720505992571516,0.0027720505992571516,0.0,True,1.0,0.0006588585674762726,0.0014201793819665909,0.0006930126498142879,1,1,27.25
efficientnet_b0,sha_un,pretrained,0.0,400,0,relu,0.0,0.0,0.0,0.0,True,1.0,0.00014287233352661133,0.0003459937870502472,0.0,2,2,14.85
efficientnet_b0,sha_un,pretrained,0.0,400,1,relu,0.0,0.0,0.0,0.0,True,1.0,0.00014287233352661133,0.0003459937870502472,0.0,2,2,14.85
efficientnet_b0,sha_un,pretrained,0.05,400,0,relu,0.0,0.00010796967479917739,0.00010796967479917739,0.0,True,1.0,0.00014287233352661133,0.0003459937870502472,2.6992418699794347e-05,2,2,14.85
efficientnet_b0,sha_un,pretrained,0.05,400,1,relu,0.0,0.00010796967479917739,0.00010796967479917739,0.0,True,1.0,0.00014287233352661133,0.0003459937870502472,2.6992418699794347e-05,2,2,14.85
efficientnet_b0,sha_un,pretrained,0.1,400,0,relu,0.0,0.0002429317682981491,0.0002429317682981491,0.0,True,1.0,0.00014287233352661133,0.0003459937870502472,6.073294207453728e-05,2,2,14.85
efficientnet_b0,sha_un,pretrained,0.1,400,1,relu,0.0,0.0002429317682981491,0.0002429317682981491,0.0,True,1.0,0.00014287233352661133,0.0003459937870502472,6.073294207453728e-05,2,2,14.85
efficientnet_b0,sha_un,pretrained,0.2,400,0,relu,0.0,0.0006478180487950643,0.0006478180487950643,0.0,True,1.0,0.00014287233352661133,0.0003459937870502472,0.00016195451219876608,2,2,14.85
efficientnet_b0,sha_un,pretrained,0.2,400,1,relu,0.0,0.0006478180487950643,0.0006478180487950643,0.0,True,1.0,0.00014287233352661133,0.0003459937870502472,0.00016195451219876608,2,2,14.85
efficientnet_b0,int_un,pretrained,0.0,400,0,relu,0.0,0.0,0.0,0.0,True,1.0,0.0008490495383739471,0.0017068926244974136,0.0,3,3,11.56
efficientnet_b0,int_un,pretrained,0.0,400,1,relu,0.0,0.0,0.0,0.0,True,1.0,0.0008490495383739471,0.0017068926244974136,0.0,3,3,11.56
efficientnet_b0,int_un,pretrained,0.05,400,0,relu,0.0,0.0005679871473047469,0.0005679871473047469,0.0,True,1.0,0.0008490495383739471,0.0017068926244974136,0.00014199678682618672,3,3,11.56
efficientnet_b0,int_un,pretrained,0.05,400,1,relu,0.0,0.0005679871473047469,0.0005679871473047469,0.0,True,1.0,0.0008490495383739471,0.0017068926244974136,0.00014199678682618672,3,3,11.56
efficientnet_b0,int_un,pretrained,0.1,400,0,relu,0.0,0.0012779710814356804,0.0012779710814356804,0.0,True,1.0,0.0008490495383739471,0.0017068926244974136,0.0003194927703589201,3,3,11.56
efficientnet_b0,int_un,pretrained,0.1,400,1,relu,0.0,0.0012779710814356804,0.0012779710814356804,0.0,True,1.0,0.0008490495383739471,0.0017068926244974136,0.0003194927703589201,3,3,11.56
efficientnet_b0,int_un,pretrained,0.2,400,0,relu,0.0,0.0034079228838284816,0.0034079228838284816,0.0,True,1.0,0.0008490495383739471,0.0017068926244974136,0.0008519807209571204,3,3,11.56
efficientnet_b0,int_un,pretrained,0.2,400,1,relu,0.0,0.0034079228838284816,0.0034079228838284816,0.0,True,1.0,0.0008490495383739471,0.0017068926244974136,0.0008519807209571204,3,3,11.56
